title,combined
Daniel Isn't Real,"a troubled college freshman, luke, suffers a violent family trauma. he then resurrects his charismatic childhood imaginary friend daniel to help him cope, not realizing how dangerous daniel is. milesrobbins patrickschwarzenegger sashalane adamegyptmortimer crime drama fantasy"
Shaft,"jj shaft, a cyber security expert with a degree from mit, enlists his family's help to uncover the truth behind his best friend's untimely death. samuell.jackson jessiet.usher richardroundtree timstory action comedy crime"
True History of the Kelly Gang,based on peter carey's novel. the story of australian bushranger ned kelly and his gang as they flee from authorities during the 1870s. georgemackay essiedavis nicholashoult justinkurzel biography crime drama
Can You Keep a Secret?,"thinking they're about to crash, emma spills her secrets to a stranger on a plane. at least, she thought he was a stranger...until she later meets jack, her company's young ceo, who now knows every humiliating detail about her. based on the blockbuster nyt bestseller. alexandradaddario tylerhoechlin sunitamani elisedurán comedy romance"
Harriet,"the extraordinary tale of harriet tubman's escape from slavery and transformation into one of america's greatest heroes, whose courage, ingenuity, and tenacity freed hundreds of slaves and changed the course of history. cynthiaerivo janellemonáe leslieodomjr. kasilemmons action biography drama"
Spies in Disguise,"when the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world. rachelbrosnahan jarrettbruno clairecrosby nickbruno,troyquane animation action adventure"
47 Meters Down: Uncaged,two sisters diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves. sophienélisse corinnefoxx briannetju johannesroberts adventure drama horror
The Art of Self-Defense,"after being attacked on the street, a young man enlists at a local dojo, led by a charismatic and mysterious sensei, in an effort to learn how to defend himself from future threats. jesseeisenberg alessandronivola imogenpoots rileystearns action comedy crime"
The Red Sea Diving Resort,israel's mossad agents attempt to rescue ethiopian jewish refugees in sudan in 1979. mbulelogrootboom sizomahlangu michaelkennethwilliams gideonraff drama history thriller
The Last Vermeer,"an artist is suspected of selling a valuable painting to the nazis, but there is more to the story than meets the eye. guypearce claesbang vickykrieps danfriedkin drama"
"Endings, Beginnings","a 30-something woman navigating through love and heartbreak over the course of one year. during that time, she will unlock the secrets to her life in a sudden turn of events and in the most surprising of places. shailenewoodley jamiedornan sebastianstan drakedoremus drama"
The Laundromat,"a widow investigates an insurance fraud, chasing leads to a pair of panama city law partners exploiting the world's financial system. garyoldman antoniobanderas ajmeijer stevensoderbergh comedy crime drama"
Close,a female bodyguard is hired to protect an heiress on the run from assassins. noomirapace oliviajewson abdellatifchaouqi vickyjewson action drama thriller
Togo,"the story of togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race. willemdafoe juliannenicholson christopherheyerdahl ericsoncore adventure biography drama"
The Angry Birds Movie 2,"the flightless birds and scheming green pigs take their feud to the next level. jasonsudeikis joshgad lesliejones thuropvanorman,johnrice animation action adventure"
The Personal History of David Copperfield,a modern take on charles dickens's classic tale of a young orphan who is able to triumph over many obstacles. devpatel hughlaurie tildaswinton armandoiannucci comedy drama
Polaroid,"high school loner bird fitcher has no idea what dark secrets are tied to the polaroid camera she finds. it doesn't take long to discover that those who have their picture taken with it, soon die. kathrynprescott tyleryoung samanthalogan larsklevberg drama horror mystery"
Above Suspicion,the story that leads to the first conviction for murder of an fbi agent. emiliaclarke jackhuston sophielowe phillipnoyce action biography crime
The Secret Life of Pets 2,"continuing the story of max and his pet friends, following their secret lives after their owners leave them for work or school each day. pattonoswalt kevinhart harrisonford chrisrenaud,jonathandelval animation adventure comedy"
Playing with Fire,a crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids. johncena keegan-michaelkey johnleguizamo andyfickman comedy family
Dronningen,a successful lawyer jeopardizes her career and threatens to tear her family apart after engaging in an affair with her teenage stepson. trinedyrholm gustavlindh magnuskrepper mayel-toukhy drama
Une fille facile,"naima is 16 and lives in cannes. she has given herself the summer to choose what she wants to do with her life. then her cousin sofia, with her alluring lifestyle, arrives to spend the holidays with her. minafarid zahiadehar benoîtmagimel rebeccazlotowski comedy drama"
The Last Full Measure,"thirty-four years after his death, airman william h. pitsenbarger, jr. (""pits"") is awarded the nation's highest military honor, for his actions on the battlefield. sebastianstan alisonsudol ashermilesfallica toddrobinson drama war"
The Lego Movie 2: The Second Part,"it's been five years since everything was awesome and the citizens are facing a huge new threat: lego duplo invaders from outer space, wrecking everything faster than they can rebuild. chrispratt elizabethbanks willarnett mikemitchell animation adventure comedy"
Girl on the Third Floor,"don koch tries to renovate a rundown mansion with a sordid history for his growing family, only to learn that the house has other plans. c.m.punk triestekellydunn sarahbrooks travisstevens drama horror mystery"
Rare Beasts,"an anti rom-com about mandy, a career-driven single mother, who falls in love with the charming, traditionalist pete. billiepiper leobill kerryfox billiepiper comedy drama romance"
The Intruder,"a young married couple buy a beautiful house on several acres of land, only to find out that the man they bought it from refuses to let go of the property. michaelealy meagangood dennisquaid deontaylor thriller"
Come to Daddy,a man in his thirties travels to a remote cabin to reconnect with his estranged father. elijahwood stephenmchattie garfieldwilson anttimpson comedy horror mystery
A Dog's Journey,a dog finds the meaning of his own existence through the lives of the humans he meets. joshgad dennisquaid kathrynprescott gailmancuso adventure comedy drama
